Grade,0,1,ratioGrade
34,61,94,0.64893617
33,86,119,0.722689076
32,116,159,0.729559748
31,169,255,0.662745098
30,209,317,0.659305994
29,296,442,0.669683258
28,429,579,0.740932642
27,528,750,0.704
26,690,925,0.745945946
25,880,1146,0.767888307
24,1156,1517,0.762030323
23,1382,1785,0.774229692
22,1739,2234,0.778424351
21,2138,2697,0.792732666
20,2326,2843,0.818149842
19,2806,3423,0.819748758
18,3427,4148,0.826181292
17,3509,4154,0.844727973
16,4094,4833,0.847092903
15,5093,5885,0.865420561
14,6129,7008,0.874571918
13,7432,8410,0.883709869
12,7587,8486,0.894060806
11,7999,8932,0.895544111
10,8637,9447,0.914258495
9,8121,8754,0.927690199
8,8984,9662,0.929828193
7,8927,9548,0.934960201
6,7895,8349,0.94562223
5,7394,7760,0.952835052
4,6821,7142,0.955054607
3,5537,5756,0.961952745
2,3751,3856,0.97276971
1,3735,3821,0.977492803
0,4703,4764,0.987195634
